douban_score,publisher,douban_votes,name,authors
9.1, 北京联合出版公司·后浪出版公司,4916,灯塔,"[法]
            克里斯多夫·夏布特"
7.9, 南海出版公司,8502,枯枝败叶,"[哥伦比亚]
            加西亚·马尔克斯"
8.4, 上海人民出版社,9334,伊斯坦布尔,"[土耳其]
            奥尔罕·帕慕克"
7.6, 湖南文艺出版社,765,兰亭序杀局1,兰亭序杀局
5.2, 中国友谊出版公司,530,我们最好的十年,
8.9, 译林出版社,3775,如果在冬夜，一个旅人,"[意]
            伊塔洛·卡尔维诺"
8.6, 武汉出版社,3037,边城,含章文库
8.3, 北京时代华文书局,4309,死亡通知单·暗黑者,周浩晖
9.1, 人民文学出版社,2761,大明王朝1566,刘和平
8.8, 大连理工大学出版社,860,平面国,
9.1, 上海译文出版社,5916,罪与罚,"[俄]
            费奥多尔·陀思妥耶夫斯基"
8.4, 陕西师范大学出版社,5138,天浴,"[美]
            严歌苓"
8.8, 上海译文出版社,5446,鼠疫,"[法]
            阿尔贝·加缪"
8.2, 中信出版社,8197,消失的爱人,"[美]
            吉莉安·弗琳"
8.4, 南海出版公司,7340,时间的针脚,"[西]
            玛丽亚·杜埃尼亚斯"
6.9, 新世界出版社,44779,泡沫之夏,明晓溪
8.8, 上海译文出版社,701,远大前程,"[英]
            查尔斯·狄更斯"
7.6, 漓江出版社,5176,无声的证词,秦明
8.7, 北京十月文艺出版社,28077,倾城之恋,张爱玲
8.5, 南京大学出版社,49,寂寞芳心小姐,南京大学出版社·守望者
9.3, 上海文艺出版社,3195,战争与和平（全四册）,"[俄]
            列夫·托尔斯泰"
8.1, 长江文艺出版社,2015,青衣,毕飞宇
8.2, 北京十月文艺出版社,3320,小团圆,张爱玲
7.3, 春风文艺出版社,71351,1995-2005夏至未至,郭敬明
8.4, 浙江少年儿童出版社,2197,狼王梦,动物小说大王沈石溪·品藏书系
7.1, 南海出版公司,4648,假面饭店,假面系列
8.2, 上海三联书店,10078,伤心咖啡馆之歌,"[美]
            卡森·麦卡勒斯"
7.2, 南海出版公司,6814,平行世界·爱情故事,"[日]
            东野圭吾"
9.0, 新加坡南洋出版社,764,金瓶梅,
8.3, 九州出版社,218,再次进击,
9.7, 上海译文出版社,1504,卡拉马佐夫兄弟,陀思妥耶夫斯基文集
8.5, 江苏凤凰文艺出版社,3064,百年法,"[日]
            山田宗树"
8.2, 百花洲文艺出版社,203,此爱无岸,
8.1, 江苏凤凰文艺出版社,366,万能管家吉夫斯,读客
7.2, 人民文学出版社,4165,暗算,
7.6, 三联书店,17273,雪山飞狐,金庸作品集（三联口袋本）
8.2, 南海出版公司,8440,维罗妮卡决定去死,"[巴西]
            保罗·柯艾略"
8.6, 上海科学普及出版社,6099,带上她的眼睛,刘慈欣
8.2, 江苏凤凰文艺出版社,2230,太年轻,读客
8.2, 上海人民出版社,2964,真幌站前多田便利屋,世纪文景
8.2, 湖南文艺出版社,21691,悟空传,今何在
9.0, 译林出版社,241,五号屠场,冯内古特作品
8.3, 南海出版公司,12489,我的职业是小说家,"[日]
            村上春树"
8.5, 重庆出版社,6918,斜阳,太宰治
8.4, 中国友谊出版公司,26786,盗墓笔记6,南派三叔
9.0, 麥田,1107,以你的名字呼喚我,
7.4, 人民文学出版社,7724,地狱,"[美]
            丹·布朗"
8.6, 北方文艺出版社,6475,万寿寺,王小波
8.6, 上海人民出版社,5078,霍比特人,"[英]
            J·R·R·托尔金"
8.8, 上海译文出版社,8251,野性的呼唤,"[美]
            杰克·伦敦"
8.8, 四川文艺出版社,53,莎拉的钥匙,大鱼读品
9.5, 理想国丨九州出版社,56,孤独及其所创造的,理想国
8.0, 长江文艺出版社,3600,吃瓜时代的儿女们,刘震云
8.5, 二十一世纪出版社,10896,悟空传,今何在
8.9, 浙江文艺出版社,2936,道林·格雷的画像,果麦文化
9.0, 人民文学出版社,5039,卡夫卡小说全集（全三册）,"[奥地利]
            弗朗茨·卡夫卡"
9.2, 译林出版社,2597,基督山伯爵（上下）,译林·名著名译
8.0, 上海译文出版社,17341,东京奇谭集,"[日]
            村上春树"
8.9, 百花洲文艺出版社,103,沙海无门,
8.1, 江苏凤凰文艺出版社,3444,2018,九志天达
8.2, 上海译文出版社,7748,潮骚,"[日]
            三岛由纪夫"
9.1, 上海人民出版社,4549,2001太空漫游,"[英]
            阿瑟·克拉克"
8.6, 译林出版社,3437,烛烬,"[匈牙利]
            马洛伊·山多尔"
8.6, 南海出版公司,3468,古都,"[日]
            川端康成"
9.0, 江苏文艺出版社,3057,京华烟云,林语堂
8.0, 北京十月文艺出版社,13501,色，戒,张爱玲
8.2, 上海译文出版社,8553,爱情笔记,"[英]
            阿兰·德波顿"
8.1, 人民文学出版社,5312,芙蓉镇,古华
8.4, 译林出版社,6109,寻欢作乐,"[英]
            威廉·萨默塞特·毛姆"
8.4, 上海译文出版社,30797,瓦尔登湖,亨利·戴维·梭罗
8.6, 上海译文出版社,11138,不朽,"[捷克]
            米兰·昆德拉"
8.4, 时代文艺出版社,25628,盗墓笔记7,南派三叔
7.4, 生活.读书.新知三联书店,7385,碧血剑,金庸
9.1, 北京联合出版公司,48,I窃星,未读
8.0, 时代文艺出版社,11528,一半是海水一半是火焰,王朔
8.8, 中国海关出版社,27466,明朝那些事儿（陆）,当年明月
8.5, 新星出版社,4835,占星术杀人魔法,
7.5, 长江出版社,3901,浮生物语,裟椤双树
8.7, 译林出版社,1389,爱与黑暗的故事,"[以色列]
            阿摩司·奥兹"
7.5, 中国华侨出版社,385,知否知否应是绿肥红瘦（二）,知否知否应是绿肥红瘦（典藏版）
8.7, 北京联合出版公司,636,艰难的制造,读客·知识小说文库
8.4, 世纪文景/上海人民出版社,1640,屠夫十字镇,"[美]
            约翰·威廉斯"
7.9, 江苏文艺出版社,3821,雪中悍刀行 1,烽火戏诸侯
9.0, 生活·读书·新知三联书店,25915,围城,钱钟书
8.6, 人民文学出版社,9728,尘埃落定,阿来
8.9, 湖南文艺出版社,6433,有匪1,Priest
6.3, 长江文艺出版社,17328,小时代3.0：刺金时代,郭敬明
7.6, 海南出版社,5864,余罪,常书欣
8.4, 中国友谊出版公司,26631,盗墓笔记5,南派三叔
8.0, 百花洲文艺出版社,4498,昭奚旧草,书海沧生
8.4, 浙江文艺出版社,4129,幻影书,"[美]
            保罗·奥斯特"
8.0, 新星出版社,941,凛冬之棺,午夜文库·原创系列
7.3, 花山文艺出版社,5181,微微一笑很倾城（典藏版）,顾漫
8.4, 青岛出版社,3640,打火机与公主裙·荒草园,Twentine
8.7, 上海译文出版社,10609,银河系搭车客指南,银河系搭车客指南五部曲
8.8, 作家出版社,865,小姨多鹤,严歌苓长篇精品
8.1, 北京十月文艺出版社,1837,一半是火焰 一半是海水,新经典文化
7.4, 世纪文景 | 上海人民出版社,751,高山上的小邮局,世纪文景
8.7, 江苏凤凰文艺出版社,67,我们在哈瓦那的人,读客
9.1, 漓江出版社,2668,地下室手记,外国文学名著名译丛书
9.3, 浙江文艺出版社,39,一片树叶的颤动,可以文化
7.0, 当代世界出版社,40119,左耳,饶雪漫
8.4, 江苏文艺出版社,3506,神的九十亿个名字,"[英]
            阿瑟·克拉克"
8.7, 生活·读书·新知三联书店,8625,人·兽·鬼,钱钟书
9.7, 浙江文艺出版社,221,思念成城,
7.2, 生活·读书·新知三联书店,7525,书剑恩仇录,金庸作品集（三联版）
8.8, 外语教学与研究出版社,29,凝视太阳,互文
7.7, 北京联合出版公司,3697,奇迹,
7.5, 万卷出版公司,53064,他的国,韩寒
8.0, 南海出版公司,2469,秘密,"[日]
            东野圭吾"
7.7, 长江文艺出版社,16743,夏至未至,郭敬明
8.5, 人民文学出版社,21158,哈姆莱特,"[英]
            威廉·莎士比亚"
7.9, 人民日报出版社,352,贵婉日记,
8.5, 上海译文出版社,932,纳博科夫短篇小说全集,"[美]
            弗拉基米尔·纳博科夫"
8.5, 南海出版公司,19937,恶意,加贺探案集
9.3, 上海人民出版社,1801,2001：太空漫游,"[英]
            阿瑟·克拉克"
7.1, 湖南文艺出版社,49,时间杀手,
9.3, 广西师范大学出版社,1074,生活与命运,理想国
8.9, 江苏凤凰文艺出版社,372,童年的终结,读客
9.0, 江苏文艺出版社,8662,银河帝国：基地,"[美]
            艾萨克·阿西莫夫"
8.1, 青海人民出版社,10903,诛仙,箫鼎
8.8, 译林出版社,6187,不存在的骑士,"[意]
            伊塔洛·卡尔维诺"
8.1, 南京大学出版社,11101,刺猬的优雅,"[法]
            妙莉叶·芭贝里"
7.2, 百花洲文艺出版社,138,挚野,
7.8, 北京十月文艺出版社,4608,镜花缘,
7.6, 文化艺术出版社,27177,失乐园,渡边淳一作品
8.1, 新星出版社,4528,一首小夜曲,"[日]
            伊坂幸太郎"
